order_id,customer_id,order_date,category,product,price,quantity,total_price,state,region,payment_method
9543,N50867,01-06-2023 06:04,Groceries,Milk,1581.79,5,7908.95,Rajasthan,North,UPI
4597,S29121,09-06-2024 13:25,Beauty,Perfume,1347.4,5,6737,Andhra Pradesh,South,Debit Card
4273,E16999,24-02-2023 21:16,Groceries,Fruits,1210.5,2,2421,West Bengal,East,UPI
6810,W96167,26-12-2023 11:12,Groceries,Vegetables,896.23,5,4481.15,Madhya Pradesh,West,PayPal
2316,N48352,10-11-2024 00:13,Apparel,Jacket,1463.49,2,2926.98,Uttar Pradesh,North,Debit Card
2685,W67347,17-09-2024 13:10,Home Goods,Blender,799.82,2,1599.64,Maharashtra,West,Bank Transfer
8822,N88309,18-10-2023 20:07,Groceries,Vegetables,358.76,2,717.52,Rajasthan,North,Credit Card
2990,E64179,31-07-2024 21:50,Beauty,Moisturizer,614.59,5,3072.95,Bihar,East,Credit Card
2778,S44850,03-05-2023 23:19,Groceries,Fruits,1651.68,1,1651.68,Karnataka,South,PayPal
195,E74721,07-10-2023 03:15,Books,Biography,1596.64,4,6386.56,West Bengal,East,Credit Card
8201,N32170,12-11-2023 21:25,Home Goods,Pillow,1026.15,1,1026.15,Rajasthan,North,Debit Card
9055,E77334,08-08-2023 05:21,Beauty,Sunscreen,,,5880.03,,East,
3866,W85305,23-02-2024 19:32,Groceries,Milk,1052.96,2,2105.92,Madhya Pradesh,West,UPI
6369,W13335,01-02-2024 11:22,Books,Kids' Book,1201.21,1,1201.21,Gujarat,West,Debit Card
4259,W79472,04-03-2023 13:20,Beauty,Sunscreen,1880.11,5,9400.55,Maharashtra,West,Credit Card
8176,S01310,14-06-2023 20:48,Books,Cookbook,145.24,5,726.2,Andhra Pradesh,South,UPI
3212,E13369,19-07-2024 23:49,Beauty,Lipstick,1493.93,5,7469.65,Bihar,East,Bank Transfer
7373,E29028,23-12-2024 04:07,Books,Biography,1948.13,1,1948.13,Bihar,East,Credit Card
4395,E89343,30-12-2023 14:45,Books,Fiction Novel,597.12,1,597.12,Bihar,East,UPI
8452,E22743,11-08-2024 16:50,Electronics,Headphones,837.33,4,3349.32,West Bengal,East,Bank Transfer
4763,E65735,11-07-2023 03:53,Electronics,Headphones,511.42,4,2045.68,West Bengal,East,PayPal
8978,W47499,27-09-2023 21:56,Groceries,Milk,1752.88,5,8764.4,Madhya Pradesh,West,Bank Transfer
